# date|sport|moving_s|dist_m|id|name
# Exported from the Strava API, 2026-01-01 .. 2026-08-16. One activity per line.
# Feeds scripts/gen_training_year.py -> src/data/trainingYear.ts
2026-01-02|NordicSki|2730|6972|16912032920|Afternoon Nordic Ski
2026-01-02|VirtualRide|3190|23292|16915146405|MyWhoosh - Aerobic Ramps
2026-01-03|NordicSki|1646|5278|16920897627|Lunch Nordic Ski
2026-01-03|NordicSki|7639|10319|16924087296|Ogre Cross Country skiwalk
2026-01-04|NordicSki|1282|3660|16937226547|Uzvarnieks Distancenes
2026-01-05|NordicSki|2237|6436|16948101754|Fischer Trase Sigulda, Slidsolis
2026-01-07|NordicSki|2953|9691|16970259600|Bikernieki Slidsolis
2026-01-08|Workout|4401|500|16976427854|Rita Volejbols
2026-01-08|NordicSki|4036|14279|16980792850|Bikernieki Slidsolis
2026-01-08|Workout|2040|2989|16982887980|Hokejs Dikinieks
2026-01-09|TrailRun|5476|11327|16992432473|Evening Trail Run
2026-01-09|NordicSki|940|2862|16993299957|Uzvarnieks Slidsolis
2026-01-10|IceSkate|3830|4597|17001743674|Garkalne Meza slepošana
2026-01-11|IceSkate|5368|8569|17013226526|Dikinieks Hokis
2026-01-12|NordicSki|4498|13601|17022714503|Sigulda Fischer trase, slepju tests
2026-01-13|Walk|2247|2607|17035686397|Afternoon Walk
2026-01-14|Snowboard|3616|11562|17046433420|Snovosana Rieksta
2026-01-15|Workout|4305|588|17055352514|Rita Volejbols
2026-01-15|Workout|7720|11571|17062230449|Dikis hokejs
2026-01-16|NordicSki|5976|21729|17072235967|Zilie kalni slidsolis
2026-01-17|NordicSki|3660|2396|17081606060|Druvinas Meza slepes
2026-01-18|BackcountrySki|4161|4807|17090372465|Druvinas Meza slepes, aplitis
2026-01-18|IceSkate|3922|4707|17092847514|Afternoon Ice Skate
2026-01-18|RockClimbing|7552|0|17096627493|Evening Rock Climb
2026-01-19|NordicSki|1534|5746|17105230565|Bikernieki slidsolis
2026-01-19|Swim|1835|1200|17105956614|Evening Swim
2026-01-20|IceSkate|7221|11720|17119064329|Hokejs, Dikinieks 4v5
2026-01-21|NordicSki|5476|21594|17129830324|Bikernieki slidsolis
2026-01-21|Swim|1220|850|17130371689|Evening Swim
2026-01-27|Run|2266|7800|17195170613|Afternoon Run
2026-01-27|IceSkate|4206|5696|17197509838|Hokejs
2026-01-30|Snowboard|6427|21064|17229551586|Afternoon Snowboard
2026-01-31|NordicSki|1276|4162|17235970638|Slidsolis Bikernieki
2026-01-31|IceSkate|6560|10442|17238544630|Hokejs Dikis
2026-02-01|IceSkate|4545|9353|17251192823|Afternoon Ice Skate
2026-02-02|Tennis|3658|0|17264153698|Night Tennis
2026-02-03|NordicSki|2508|8955|17274363694|Slidsolis Bikernieki
2026-02-03|Swim|1329|1100|17275649854|Evening Swim OSC
2026-02-04|Snowboard|3521|12684|17283842482|Milzkalns
2026-02-04|Snowboard|5154|15954|17291797360|Milzkalns
2026-02-05|Workout|4747|541|17292261902|Rukki Volejbols
2026-02-05|IceSkate|6600|12745|17298652441|Hokejs 4v4
2026-02-07|NordicSki|273|483|17315215537|Lunch Nordic Ski
2026-02-07|NordicSki|3842|15684|17316181279|Slidsolis apkart Alaukstam
2026-02-07|NordicSki|2384|2654|17318675983|Afternoon Nordic Ski
2026-02-08|NordicSki|5021|7742|17329879174|Klasika Druvinas
2026-02-09|NordicSki|3088|11810|17341349591|Slidsolis Bikernieki
2026-02-09|Swim|1754|1100|17342214846|Evening Swim
2026-02-10|IceSkate|6901|13165|17354177502|Hokejs Dikis
2026-02-11|Snowboard|3464|12538|17363443377|Snovbords Milzkalns
2026-02-12|Workout|4399|631|17370576338|Rita Volejbols
2026-02-12|IceSkate|2779|4326|17378057903|Dika tirisana/liesana
2026-02-13|Swim|2144|1550|17385898968|Evening Swim
2026-02-14|NordicSki|2272|6322|17393450019|Lunch Nordic Ski
2026-02-15|Workout|4928|0|17405723626|Sniega tirisana
2026-02-17|IceSkate|4468|8764|17430872298|Hokejs Dikinieks
2026-02-18|NordicSki|2948|10353|17441382943|Slidsolis Bikernieki
2026-02-19|Run|2548|10053|17450143103|Uz Skrejcelina
2026-02-19|IceSkate|3931|6275|17453310051|Hokejs, Bukulti
2026-02-20|WeightTraining|1208|0|17459221881|Speks
2026-02-21|IceSkate|5758|9537|17471740005|Hokejs Dikis
2026-02-22|Hike|6685|5320|17485396383|Ligatnes Dabas Taka
2026-02-24|WeightTraining|1805|0|17508455895|Evening Weight Training
2026-02-25|NordicSki|5651|22009|17518796679|Slidsolis Bikernieki
2026-02-27|Snowboard|6235|18129|17540823048|Gudauri DAY 1
2026-02-28|Snowboard|5467|20818|17552587778|Gudauri DAY 2
2026-03-01|Snowboard|7363|34740|17564939548|Gudauri DAY 3
2026-03-02|Snowboard|8274|40410|17575606422|Gudauri DAY 4
2026-03-03|Snowboard|8201|42439|17587656481|Gudauri DAY 5
2026-03-04|Snowboard|8443|30022|17600403611|Gudauri DAY 6
2026-03-05|Snowboard|6553|29099|17614094132|Gudauri DAY 7
2026-03-06|Snowboard|6121|25983|17623936221|Gudauri DAY 8
2026-03-07|Snowboard|6365|36733|17635653622|Gudauri DAY 9
2026-03-07|Snowboard|1183|3988|17639567688|Gudauri DAY 9 NightRiding
2026-03-08|Snowboard|5894|31268|17649070931|Gudauri DAY 10
2026-03-09|Snowboard|8365|33969|17659570522|Gudauri DAY 11
2026-03-10|Snowboard|6029|27870|17671318201|Gudauri DAY LAST
2026-03-11|Hike|5706|3974|17681157783|Saullekta pargajiens
2026-03-11|Snowboard|1224|6667|17681583796|Gudauri DAY 13
2026-03-13|Run|1904|5152|17704566444|Morning Run
2026-03-13|GravelRide|2702|18183|17709926724|Afternoon Gravel Ride
2026-03-14|Run|1615|4694|17715378989|Morning Run
2026-03-15|Yoga|991|0|17728669256|Lunch Yoga
2026-03-16|Run|2166|6743|17741698813|Threshold Run 2x7min
2026-03-17|Swim|3751|2700|17757700421|Evening Swim
2026-03-18|Run|3088|10150|17768233934|Progression Run
2026-03-19|TrailRun|5464|11948|17782323692|Gogorbuks - Bierini
2026-03-21|Ride|13845|100219|17805317197|Season opening Ride
2026-03-22|Yoga|1286|0|17813190965|Lunch Yoga
2026-03-22|Run|5978|15948|17820173201|Long easy run
2026-03-23|Swim|3171|2100|17830286665|Evening Swim
2026-03-24|Run|1964|6114|17840205283|5x400m stadions
2026-03-24|Ride|4604|29946|17843707728|Evening Ride
2026-03-25|Ride|4669|33353|17858905774|Night Ride
2026-03-26|TrailRun|4381|10267|17868293632|Evening Trail Run
2026-03-27|Ride|1917|15098|17879110058|Evening Ride
2026-03-27|Swim|1359|1050|17879705712|Evening Swim
2026-03-28|TrailRun|528|1447|17885710494|Lunch Trail Run
2026-03-28|TrailRun|9813|26863|17888965981|SB Lusis
2026-03-29|TrailRun|3940|10021|17897232915|Morning Trail Run
2026-03-30|Swim|1652|1100|17912190155|Recovery Swim
2026-03-30|Ride|2246|15020|17925956398|Evening Ride
2026-03-31|Ride|4861|36284|17927242432|Evening Ride
2026-04-01|Run|1892|5330|17934638609|Easy Run
2026-04-01|WeightTraining|492|0|17936944177|Afternoon Weight Training
2026-04-02|Swim|5101|4200|17949325671|Long Swim
2026-04-02|Ride|5654|37792|17952141054|Afternoon Ride
2026-04-03|Ride|9962|96228|17959834503|Morning Z3/4 Hard Cycling
2026-04-03|Run|985|3295|17959814829|BRICK Run
2026-04-05|Run|5433|17037|17985815500|Progression 1k int./1k rec.
2026-04-07|Run|1864|5317|18014033856|Easy run
2026-04-07|Swim|3088|2300|18016277541|Evening Swim, 10x100
2026-04-08|Run|3042|8617|18029112469|Evening Run
2026-04-09|Swim|2450|1900|18037727499|Pool Swim
2026-04-11|WeightTraining|1135|0|18065909436|Afternoon Weight Training
2026-04-12|Run|1815|3772|18082919549|Evening Run
2026-04-12|Ride|309|1528|18084433454|Night Ride
2026-04-13|Workout|1710|0|18087331596|Rita Rosme
2026-04-13|Ride|4115|25616|18089000419|Morning Ride
2026-04-13|Swim|2849|2350|18091276480|Afternoon Swim
2026-04-13|Run|3007|8225|18094401375|Evening Run
2026-04-14|Run|3631|9235|18102161039|Morning Run
2026-04-14|Ride|6660|40711|18106766214|Afternoon Ride
2026-04-14|Run|536|1707|18106996987|BRICK RUN
2026-04-15|Ride|9668|65059|18118376652|Morning Ride
2026-04-15|Run|1695|4700|18121318596|Afternoon Run
2026-04-15|Workout|4062|0|18121318644|Core & VFS
2026-04-16|Ride|10031|64374|18131034162|Morning Ride
2026-04-16|Run|1895|5554|18134687151|Afternoon Run
2026-04-16|Swim|1138|708|18134687383|Evening Swim
2026-04-17|Ride|744|4120|18141732824|Morning Ride
2026-04-17|Ride|4523|28990|18142456750|Easy Ride
2026-04-17|Swim|3208|2050|18143894204|Pool Swim
2026-04-17|Run|1830|4899|18147118845|Afternoon Run
2026-04-18|Ride|12204|89541|18154970997|Gran Fondo Lloret de Mar
2026-04-18|Swim|2073|1261|18159342904|Afternoon Swim
2026-04-20|WeightTraining|1930|0|18181039560|Morning Weight Training
2026-04-20|Ride|5280|32675|18185749053|Road Cycling 4xZ4 intervali
2026-04-20|Workout|3535|0|18187014336|Evening Workout
2026-04-21|Workout|2500|0|18193005366|Rita Rosme
2026-04-21|Run|3862|10616|18194705687|Z2 + 6x20s strides
2026-04-21|Ride|13678|95913|18201974266|Afternoon Ride
2026-04-22|Workout|1852|0|18207357739|Rita Rosme
2026-04-22|Ride|6427|39062|18212086687|Morning Ride
2026-04-22|Run|1661|4500|18210640367|Brick RUN
2026-04-22|Workout|1209|0|18213095915|Afternoon Workout
2026-04-22|Swim|2213|1205|18213834052|Open Water Swim
2026-04-23|Ride|7840|42111|18223737944|Costa Brava RIDE
2026-04-23|Swim|3356|2350|18225987641|Pool Swim, 20x50 Sprint
2026-04-23|Run|2351|6072|18229014790|Run 9x15s strides
2026-04-24|Ride|22439|136943|18242743298|Lloret - Girona Long Ride
2026-04-25|Run|6283|16304|18249828946|Long easy run
2026-04-25|Swim|3762|2279|18253703874|Open Water Swim, Lloret de Mar
2026-04-25|Ride|3454|12113|18256288564|Saulrieta velotura pa apkartni
2026-04-26|Ride|11711|69343|18265566917|LAST DAY RIDE
2026-04-27|Workout|2650|0|18274366704|Morning Workout
2026-04-28|Run|959|2639|18287721834|Rita rosme
2026-04-28|Swim|2947|2050|18294363764|Evening Swim
2026-04-29|TrailRun|4578|10344|18309192592|Evening Trail Run, Easy
2026-04-30|Workout|1062|0|18316641166|Veloergonometrija
2026-05-01|Ride|11302|51603|18335817770|Kritiskas masas velobrauciens
2026-05-02|Volleyball|2848|1374|18347306306|Afternoon Volleyball
